corpus_line,source_row,display_key,lens_id,title,publication_year,jurisdiction,document_type,legal_status,applicants,url
1,1,US 11237454 B2,029-878-279-301-28X,Scalable feedback control of single-photon sources for photonic quantum technologies,2022,US,Granted Patent,ACTIVE,MASSACHUSETTS INST TECHNOLOGY,https://lens.org/029-878-279-301-28X
2,2,US 10281746 B2,093-093-092-671-564,Wavelength-tunable III-V/Si hybrid optical transmitter,2019,US,Granted Patent,ACTIVE,ORACLE INT CORP,https://lens.org/093-093-092-671-564
3,3,US 2019/0004340 A1,057-186-074-547-014,WAVELENGTH-TUNABLE III-V/Si HYBRID OPTICAL TRANSMITTER,2019,US,Patent Application,ACTIVE,ORACLE INT CORP,https://lens.org/057-186-074-547-014
4,4,US 2020/0280173 A1,058-830-950-234-749,METHOD FOR WAVELENGTH CONTROL OF SILICON PHOTONIC EXTERNAL CAVITY TUNABLE LASER,2020,US,Patent Application,ACTIVE,NEOPHOTONICS CORP,https://lens.org/058-830-950-234-749
5,5,US 2018/0143461 A1,015-543-524-199-993,WAVELENGTH-TUNABLE III-V/Si HYBRID OPTICAL TRANSMITTER,2018,US,Patent Application,ACTIVE,ORACLE INT CORP,https://lens.org/015-543-524-199-993
6,6,WO 2020/180728 A1,009-747-402-064-713,METHOD FOR WAVELENGTH CONTROL OF SILICON PHOTONIC EXTERNAL CAVITY TUNABLE LASER,2020,WO,Patent Application,PENDING,NEOPHOTONICS CORP,https://lens.org/009-747-402-064-713
7,7,US 11811195 B2,060-182-593-057-199,Method for wavelength control of silicon photonic external cavity tunable laser,2023,US,Granted Patent,ACTIVE,NEOPHOTONICS CORP,https://lens.org/060-182-593-057-199
8,8,US 11119272 B2,097-843-955-790-952,Hybrid silicon-transparent conductive oxide devices,2021,US,Granted Patent,ACTIVE,UNIV OREGON STATE,https://lens.org/097-843-955-790-952
9,9,US 2024/0184041 A1,075-821-718-417-948,Laser Ultrastable Photonics with Integrated Nonlinearity for Extended Stability,2024,US,Patent Application,PENDING,UNIV CALIFORNIA;;THE US GOV AS REPRESENTED BY THE SECRETARY OF COMMERCE,https://lens.org/075-821-718-417-948
10,10,US 11201453 B2,198-394-550-088-058,Wavelength determination for widely tunable lasers and laser systems thereof,2021,US,Granted Patent,ACTIVE,BROLIS SENSOR TECH UAB,https://lens.org/198-394-550-088-058
11,11,WO 2020/102160 A2,106-174-726-911-721,SCALABLE FEEDBACK CONTROL OF SINGLE-PHOTON SOURCES FOR PHOTONIC QUANTUM TECHNOLOGIES,2020,WO,Patent Application,PENDING,MASSACHUSETTS INST TECHNOLOGY;;CAROLAN JACQUES JOHANNES;;CHAKRABORTY UTTARA;;HARRIS NICHOLAS C;;PANT MIHIR;;ENGLUND DIRK ROBERT,https://lens.org/106-174-726-911-721
12,12,US 2020/0150511 A1,041-050-712-332-39X,Scalable Feedback Control of Single-Photon Sources for Photonic Quantum Technologies,2020,US,Patent Application,ACTIVE,CAROLAN JACQUES JOHANNES;;CHAKRABORTY UTTARA;;HARRIS NICHOLAS C;;PANT MIHIR;;ENGLUND DIRK ROBERT,https://lens.org/041-050-712-332-39X
13,13,US 2024/0089002 A1,014-429-507-285-077,INTEGRATED COHERENT OPTICAL TRANSCEIVER,2024,US,Patent Application,ACTIVE,MARVELL ASIA PTE LTD,https://lens.org/014-429-507-285-077
14,14,US 12119616 B2,008-310-830-598-844,Method for wavelength control of silicon photonic external cavity tunable laser,2024,US,Granted Patent,ACTIVE,NEOPHOTONICS CORP,https://lens.org/008-310-830-598-844
15,15,US 2024/0063606 A1,147-760-732-933-74X,METHOD FOR WAVELENGTH CONTROL OF SILICON PHOTONIC EXTERNAL CAVITY TUNABLE LASER,2024,US,Patent Application,ACTIVE,NEOPHOTONICS CORP,https://lens.org/147-760-732-933-74X
16,16,US 12418345 B2,185-343-944-610-177,Integrated coherent optical transceiver,2025,US,Granted Patent,ACTIVE,MARVELL ASIA PTE LTD,https://lens.org/185-343-944-610-177
17,17,US 10162199 B2,123-188-528-707-088,Wavelength-tunable III-V/Si hybrid optical transmitter,2018,US,Granted Patent,ACTIVE,ORACLE INT CORP,https://lens.org/123-188-528-707-088
18,18,US 11177630 B2,089-058-882-542-320,Wavelength determination for widely tunable lasers and laser systems thereof,2021,US,Granted Patent,ACTIVE,BROLIS SENSOR TECH UAB,https://lens.org/089-058-882-542-320
19,19,US 2025/0293792 A1,057-750-680-266-516,OPTICAL SWITCH WITH RING RESONATOR PHOTONIC DEVICES,2025,US,Patent Application,PENDING,XSCAPE PHOTONICS INC,https://lens.org/057-750-680-266-516
20,20,WO 2019/149815 A1,083-293-652-438-490,WAVELENGTH DETERMINATION FOR WIDELY TUNABLE LASERS AND LASER SYSTEMS THEREOF,2019,WO,Patent Application,PENDING,UAB BROLIS SEMICONDUCTORS;;BROLIS SEMICONDUCTORS BVBA,https://lens.org/083-293-652-438-490
21,21,US 2021/0351567 A1,170-259-244-848-540,WAVELENGTH DETERMINATION FOR WIDELY TUNABLE LASERS AND LASER SYSTEMS THEREOF,2021,US,Patent Application,ACTIVE,BROLIS SENSOR TECH UAB,https://lens.org/170-259-244-848-540
22,22,EP 4376236 A2,090-100-889-270-497,WAVELENGTH DETERMINATION FOR WIDELY TUNABLE LASERS AND LASER SYSTEMS THEREOF,2024,EP,Patent Application,ACTIVE,BROLIS SENSOR TECH UAB,https://lens.org/090-100-889-270-497
23,23,US 2021/0141152 A1,005-262-017-248-937,Hybrid Silicon-Transparent Conductive Oxide Devices,2021,US,Patent Application,ACTIVE,UNIV OREGON STATE,https://lens.org/005-262-017-248-937
24,24,US 2023/0353254 A1,137-794-629-720-319,Integrated CMOS Photonic and Electronic WDM Communication System Using Optical Frequency Comb Generators,2023,US,Patent Application,ACTIVE,AYAR LABS INC,https://lens.org/137-794-629-720-319
25,25,US 2021/0021099 A1,006-022-296-611-260,WAVELENGTH DETERMINATION FOR WIDELY TUNABLE LASERS AND LASER SYSTEMS THEREOF,2021,US,Patent Application,ACTIVE,BROLIS SENSOR TECH UAB,https://lens.org/006-022-296-611-260
26,26,US 2023/0113820 A1,043-804-752-002-652,WAVELENGTH BANDWIDTH EXPANSION FOR TUNING OR CHIRPING WITH A SILICON PHOTONIC EXTERNAL CAVITY TUNABLE LASER,2023,US,Patent Application,PENDING,NEOPHOTONICS CORP,https://lens.org/043-804-752-002-652
27,27,US 12451972 B2,026-675-417-913-497,Methods and apparatuses for wavelength locking for optical wavelength division multiplexed micro-ring modulators,2025,US,Granted Patent,ACTIVE,XILINX INC,https://lens.org/026-675-417-913-497
28,28,US 10027089 B2,116-759-224-343-863,Coupled ring resonator system,2018,US,Granted Patent,ACTIVE,HEWLETT PACKARD DEVELOPMENT CO;;HEWLETT PACKARD ENTPR DEV LP,https://lens.org/116-759-224-343-863
29,29,US 11105988 B2,139-499-892-324-859,Dense wavelength division multiplexing (DWDM) photonic integration platform,2021,US,Granted Patent,ACTIVE,HEWLETT PACKARD ENTPR DEV LP,https://lens.org/139-499-892-324-859
30,30,US 11469764 B2,122-329-975-530-798,Optical comb source for content-addressable memory encoders,2022,US,Granted Patent,ACTIVE,HEWLETT PACKARD ENTPR DEV LP,https://lens.org/122-329-975-530-798
31,31,US 2024/0258761 A1,197-115-014-789-95X,Laser with intracavity modulator,2024,US,Patent Application,PENDING,MARVELL ASIA PTE LTD,https://lens.org/197-115-014-789-95X
32,32,US 9923335 B1,120-663-351-453-297,Thermally compensating spot-size converter for an athermal laser,2018,US,Granted Patent,ACTIVE,ORACLE INT CORP,https://lens.org/120-663-351-453-297
33,33,US 2016/0070062 A1,000-031-338-565-191,ATHERMAL OPTICAL DEVICES BASED ON COMPOSITE STRUCTURES,2016,US,Patent Application,ACTIVE,UNIV CORNELL,https://lens.org/000-031-338-565-191
