score<Pub. year>	score<Application year>	score<Earliest priority year>	score<Cited by patents>	score<Cites patents>	score<Simple family size>	score<Extended family size>	score<NPL citations>
2022	2019	2018	5	10	4	4	60
2019	2018	2016	7	11	4	4	0
2019	2018	2016	3	0	4	4	0
2020	2020	2019	46	3	14	14	0
2018	2016	2016	15	4	4	4	0
2020	2020	2019	1	5	14	14	1
2023	2020	2019	4	26	14	14	9
2021	2020	2019	0	4	2	2	171
2024	2023	2022	1	4	1	1	2
2021	2021	2018	2	113	27	27	24
2020	2019	2018	0	0	4	4	0
2020	2019	2018	11	0	4	4	0
2024	2023	2019	3	1	14	14	0
2024	2023	2019	1	33	14	14	9
2024	2023	2019	2	1	14	14	0
2025	2023	2019	1	44	14	14	3
2018	2016	2016	5	2	4	4	0
2021	2019	2018	3	112	27	27	23
2025	2025	2024	0	0	6	6	0
2019	2019	2018	25	9	27	27	7
2021	2021	2018	0	0	27	27	0
2024	2019	2018	0	7	27	27	6
2021	2020	2019	5	0	2	2	0
2023	2023	2020	0	3	13	13	2
2021	2019	2018	15	0	27	27	0
2023	2022	2021	11	8	3	3	1
2025	2023	2023	0	11	6	6	4
2018	2013	2013	6	26	8	8	7
2021	2019	2019	15	8	2	2	3
2022	2020	2020	3	26	2	2	22
2024	2023	2023	0	0	3	3	0
2018	2017	2016	1	6	2	2	5
2016	2014	2013	19	9	3	3	0
2019	2018	2018	2	11	6	6	5
2022	2020	2020	9	0	2	2	0
2018	2017	2016	2	0	2	2	0
2017	2013	2012	37	10	6	6	29
2019	2014	2013	4	10	3	3	13
2021	2021	2021	4	5	5	5	1
2023	2021	2020	1	14	7	7	9
2021	2018	2017	0	6	3	3	1
2020	2018	2017	1	0	3	3	0
2019	2018	2017	1	4	3	3	1
2025	2023	2023	0	0	3	3	0
2021	2020	2020	0	9	3	3	15
2018	2016	2016	5	26	2	2	0
2018	2016	2016	4	26	2	2	0
2025	2023	2020	0	15	7	7	9
2016	2015	2015	0	8	6	6	8
2025	2025	2024	0	6	6	6	0
2024	2023	2022	0	5	6	6	3
2022	2022	2021	0	2	5	5	2
2017	2013	2012	0	2	6	6	1
2025	2021	2021	0	6	5	5	10
2025	2023	2023	0	5	3	3	0
2017	2016	2016	46	15	1	1	4
2021	2018	2018	14	16	2	2	6
2019	2015	2013	28	15	4	4	10
2025	2023	2020	0	23	13	13	12
2025	2023	2023	0	5	2	2	4
2025	2019	2018	0	2	27	27	1
2023	2020	2019	10	2	1	1	20
2024	2023	2023	2	4	6	6	0
2023	2022	2021	0	5	3	3	0
2025	2024	2023	0	5	1	1	0
2018	2017	2017	7	6	1	1	5
2017	2016	2016	6	22	2	2	11
2024	2024	2023	0	7	6	6	0
2021	2020	2020	2	8	4	4	2
2016	2015	2015	12	14	1	1	3
2024	2023	2022	0	166	1	1	0
2016	2015	2015	12	12	2	2	8
2025	2024	2023	1	0	1	4	0
2025	2025	2024	0	0	6	6	0
2017	2015	2014	263	3	5	7	0
2023	2020	2019	1	11	4	4	5
2018	2016	2016	5	3	2	2	3
2022	2021	2021	3	3	1	1	4
2016	2015	2015	18	0	6	6	0
2017	2014	2014	12	15	1	1	19
2025	2025	2022	0	0	6	6	0
2016	2015	2015	0	1	6	6	2
2016	2015	2015	31	0	6	6	0
2022	2019	2012	121	6	1	77	0
2023	2021	2020	4	2	1	2	9
2025	2025	2024	0	1	1	1	5
2021	2019	2018	3	27	10	10	2
2017	2016	2016	8	2	2	2	0
2020	2019	2018	4	10	2	2	170
2017	2016	2016	11	5	4	4	0
2021	2016	2016	3	0	4	4	0
2018	2017	2016	9	4	1	1	13
2020	2020	2019	13	0	14	14	0
2020	2020	2019	21	16	14	14	1
2020	2020	2019	6	4	14	14	0
2024	2022	2021	0	16	2	2	4
2020	2020	2019	8	0	14	14	0
2019	2018	2017	33	0	4	4	0
2025	2019	2018	0	5	27	27	1
2024	2024	2023	1	3	7	8	3
2023	2022	2018	2	5	10	10	3
2020	2020	2019	4	9	8	8	3
2022	2020	2019	9	9	14	14	0
2022	2020	2019	13	1	8	8	0
2024	2020	2019	3	43	14	14	3
2021	2019	2018	0	3	6	6	2
2025	2025	2024	0	9	2	2	6
2017	2016	2016	7	5	2	2	5
2025	2024	2023	1	0	7	8	0
2024	2021	2013	0	133	17	17	54
2022	2016	2016	0	1	4	4	0
2025	2025	2023	0	11	7	8	0
2025	2020	2020	0	2	13	13	0
2017	2016	2016	27	2	8	8	0
2016	2013	2013	27	1	2	4	0
2022	2022	2018	1	5	10	10	3
2018	2017	2016	5	10	1	1	5
2018	2011	2010	1	3	5	5	4
2025	2022	2020	0	17	18	18	8
2017	2013	2013	7	5	2	4	6
2020	2019	2019	74	4	14	14	0
2019	2019	2018	4	3	6	6	2
2021	2021	2020	9	2	13	13	2
2025	2023	2022	0	14	5	6	0
2022	2019	2018	0	7	10	10	3
2024	2023	2022	0	0	5	6	0
2023	2021	2020	0	11	13	13	11
2018	2017	2016	0	4	2	2	3
2025	2025	2024	0	0	6	6	0
2024	2023	2023	0	2	2	2	0
2024	2024	2023	0	0	7	7	0
2017	2016	2016	3	5	8	8	0
2025	2024	2023	1	0	1	1	0
2024	2023	2023	0	3	7	7	0
2025	2025	2024	0	0	6	6	0
2018	2017	2017	9	3	4	4	13
2021	2021	2013	2	2	17	17	13
2023	2022	2020	8	5	18	18	0
2018	2016	2015	1	1	6	6	0
2017	2016	2015	13	1	6	6	0
2022	2019	2018	0	7	10	10	1
2024	2022	2022	0	33	3	3	20
2016	2014	2013	26	33	17	17	6
2021	2021	2020	1	5	18	18	1
2021	2016	2016	0	4	8	8	0
2023	2022	2021	4	3	1	3	4
2020	2019	2018	19	17	10	10	0
2021	2020	2019	1	3	2	2	3
2016	2015	2015	2	2	2	2	4
2023	2022	2022	2	6	1	1	0
2024	2023	2023	0	17	5	5	7
2020	2019	2018	10	6	10	10	0
2019	2015	2015	14	24	6	6	19
2023	2020	2019	0	5	2	2	22
2022	2018	2018	0	14	2	2	1
2024	2023	2022	1	3	3	3	4
2016	2015	2014	4	3	8	8	1
2019	2018	2018	10	3	6	6	0
2016	2015	2014	73	11	5	7	1
2024	2020	2019	0	10	4	4	2
2022	2020	2019	9	3	4	4	0
2024	2020	2020	0	6	5	5	16
2022	2021	2020	11	11	1	53	6
2023	2021	2020	9	1	2	53	0
2021	2020	2019	5	7	4	4	1
2020	2018	2017	6	39	4	4	0
2022	2020	2020	1	2	5	5	4
2018	2014	2013	2	10	2	2	1
2017	2017	2016	27	13	2	2	5
2024	2023	2022	3	0	1	1	0
2019	2017	2016	7	9	9	9	1
2023	2023	2020	1	22	5	5	0
2024	2021	2020	5	0	2	2	0
2025	2023	2022	0	9	2	2	33
2020	2019	2016	2	10	9	9	1
2019	2019	2016	0	3	9	9	0
2021	2021	2020	0	5	2	2	0
2016	2014	2014	3	17	16	16	5
2024	2020	2018	2	36	5	5	20
2017	2015	2014	4	10	2	2	1
2017	2015	2014	32	6	2	2	0
2023	2021	2018	0	17	10	10	2
2019	2019	2017	10	3	5	5	0
2022	2021	2018	6	10	10	10	1
2021	2014	2013	11	107	17	17	43
2020	2019	2017	0	5	5	5	0
2016	2014	2014	11	10	4	4	9
2023	2023	2022	1	0	4	4	1
2025	2023	2020	0	65	5	5	2
2025	2025	2024	0	3	3	3	0
2023	2021	2020	4	49	5	5	2
2025	2023	2022	2	0	4	4	0
2024	2020	2020	1	11	10	10	16
2018	2017	2016	10	8	9	9	0
2021	2020	2019	2	1	4	4	0
2019	2015	2014	2	17	8	8	12
2022	2021	2020	1	3	5	5	0
2017	2014	2013	0	2	7	7	2
2025	2025	2024	0	0	3	3	0
2018	2017	2016	2	3	9	9	0
2024	2024	2021	6	0	2	3	0
2022	2021	2020	4	11	5	5	0
2017	2014	2014	12	9	3	3	0
2018	2017	2016	2	4	2	2	4
2018	2016	2016	0	14	2	2	4
2019	2019	2018	9	10	2	2	0
2018	2016	2016	50	6	2	2	1
2018	2017	2016	1	0	10	10	0
2022	2018	2018	0	1	8	8	1
2023	2022	2018	1	7	5	5	7
2025	2023	2022	0	0	4	4	0
2024	2023	2023	2	4	2	2	0
2020	2020	2018	7	0	14	14	0
2018	2017	2013	11	8	2	4	0
2017	2017	2013	32	8	2	4	0
2022	2021	2020	6	2	2	2	45
2016	2013	2013	13	12	7	7	16
2021	2021	2020	26	2	2	2	0
2017	2014	2014	5	19	3	3	2
2016	2013	2008	6	9	6	6	90
2017	2016	2016	8	3	1	1	0
2025	2023	2020	0	5	7	7	0
2023	2023	2020	0	0	7	7	0
2025	2025	2022	2	275	30	91	37
2022	2020	2018	3	13	14	14	7
2019	2016	2016	0	21	3	3	2
2025	2025	2022	1	282	11	91	37
2020	2018	2018	3	8	2	2	0
2022	2022	2019	4	0	14	14	0
2024	2022	2022	2	2	2	2	0
2023	2022	2019	4	23	14	14	3
2018	2016	2016	1	2	2	2	7
2025	2025	2025	1	0	1	1	0
2017	2016	2015	5	1	5	12	0
2025	2025	2022	3	275	11	91	37
2023	2023	2022	7	2	2	2	4
2017	2016	2015	2	1	5	12	0
2022	2019	2016	4	63	2	20	5
2025	2023	2020	0	6	10	10	3
2021	2017	2016	5	6	10	10	7
2024	2018	2018	0	3	6	6	4
2024	2022	2022	0	8	2	2	0
2024	2020	2019	1	12	8	8	6
2023	2021	2021	1	6	2	2	0
2025	2023	2023	1	8	2	2	1
2020	2016	2015	3	82	3	3	24
2023	2023	2021	4	0	6	6	0
2018	2016	2016	8	9	8	8	2
2022	2021	2021	6	4	6	6	1
2025	2022	2021	0	5	2	2	1
2018	2017	2016	5	3	8	13	0
2022	2020	2019	10	118	1	1	20
2025	2021	2021	0	6	2	2	0
2024	2023	2023	0	2	2	2	0
2023	2020	2019	7	125	3	3	12
